sample-id,absolute-filepath,direction
00498,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00498_1.fastq.gz,forward
00498,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00498_2.fastq.gz,reverse
00794,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00794_1.fastq.gz,forward
00794,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00794_2.fastq.gz,reverse
00796,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00796_1.fastq.gz,forward
00796,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00796_2.fastq.gz,reverse
00811,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00811_1.fastq.gz,forward
00811,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00811_2.fastq.gz,reverse
00812,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00812_1.fastq.gz,forward
00812,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00812_2.fastq.gz,reverse
00815,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00815_1.fastq.gz,forward
00815,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00815_2.fastq.gz,reverse
00818,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00818_1.fastq.gz,forward
00818,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00818_2.fastq.gz,reverse
00819,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00819_1.fastq.gz,forward
00819,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00819_2.fastq.gz,reverse
00847,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00847_1.fastq.gz,forward
00847,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00847_2.fastq.gz,reverse
00875,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00875_1.fastq.gz,forward
00875,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00875_2.fastq.gz,reverse
00878,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00878_1.fastq.gz,forward
00878,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00878_2.fastq.gz,reverse
00880,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00880_1.fastq.gz,forward
00880,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00880_2.fastq.gz,reverse
00882,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00882_1.fastq.gz,forward
00882,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/00882_2.fastq.gz,reverse
01691,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01691_1.fastq.gz,forward
01691,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01691_2.fastq.gz,reverse
01692,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01692_1.fastq.gz,forward
01692,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01692_2.fastq.gz,reverse
01693,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01693_1.fastq.gz,forward
01693,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01693_2.fastq.gz,reverse
01694,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01694_1.fastq.gz,forward
01694,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01694_2.fastq.gz,reverse
01695,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01695_1.fastq.gz,forward
01695,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01695_2.fastq.gz,reverse
01696,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01696_1.fastq.gz,forward
01696,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01696_2.fastq.gz,reverse
01697,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01697_1.fastq.gz,forward
01697,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01697_2.fastq.gz,reverse
01698,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01698_1.fastq.gz,forward
01698,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01698_2.fastq.gz,reverse
01700,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01700_1.fastq.gz,forward
01700,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/01700_2.fastq.gz,reverse
02053,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02053_1.fastq.gz,forward
02053,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02053_2.fastq.gz,reverse
02056,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02056_1.fastq.gz,forward
02056,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02056_2.fastq.gz,reverse
02058,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02058_1.fastq.gz,forward
02058,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02058_2.fastq.gz,reverse
02227,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02227_1.fastq.gz,forward
02227,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02227_2.fastq.gz,reverse
02228,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02228_1.fastq.gz,forward
02228,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02228_2.fastq.gz,reverse
02229,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02229_1.fastq.gz,forward
02229,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02229_2.fastq.gz,reverse
02230,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02230_1.fastq.gz,forward
02230,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02230_2.fastq.gz,reverse
02254,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02254_1.fastq.gz,forward
02254,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02254_2.fastq.gz,reverse
02255,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02255_1.fastq.gz,forward
02255,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02255_2.fastq.gz,reverse
02256,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02256_1.fastq.gz,forward
02256,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02256_2.fastq.gz,reverse
02257,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02257_1.fastq.gz,forward
02257,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02257_2.fastq.gz,reverse
02259,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02259_1.fastq.gz,forward
02259,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02259_2.fastq.gz,reverse
02261,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02261_1.fastq.gz,forward
02261,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02261_2.fastq.gz,reverse
02264,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02264_1.fastq.gz,forward
02264,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02264_2.fastq.gz,reverse
02266,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02266_1.fastq.gz,forward
02266,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02266_2.fastq.gz,reverse
02269,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02269_1.fastq.gz,forward
02269,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02269_2.fastq.gz,reverse
02270,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02270_1.fastq.gz,forward
02270,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02270_2.fastq.gz,reverse
02331,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02331_1.fastq.gz,forward
02331,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02331_2.fastq.gz,reverse
02332,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02332_1.fastq.gz,forward
02332,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02332_2.fastq.gz,reverse
02333,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02333_1.fastq.gz,forward
02333,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02333_2.fastq.gz,reverse
02334,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02334_1.fastq.gz,forward
02334,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02334_2.fastq.gz,reverse
02335,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02335_1.fastq.gz,forward
02335,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02335_2.fastq.gz,reverse
02414,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02414_1.fastq.gz,forward
02414,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02414_2.fastq.gz,reverse
02418,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02418_1.fastq.gz,forward
02418,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02418_2.fastq.gz,reverse
02513,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02513_1.fastq.gz,forward
02513,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02513_2.fastq.gz,reverse
02569,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02569_1.fastq.gz,forward
02569,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02569_2.fastq.gz,reverse
02572,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02572_1.fastq.gz,forward
02572,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02572_2.fastq.gz,reverse
02573,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02573_1.fastq.gz,forward
02573,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02573_2.fastq.gz,reverse
02576,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02576_1.fastq.gz,forward
02576,/home/dermot.kelly/Dermot_primary/microbiome_data/CT_lambs_microbiome_raw_files/02576_2.fastq.gz,reverse
